order_id,customer_id,order_date,market,category,channel,customer_segment,qty,unit_price_local,fx_to_cny,cogs_cny,sell_price_cny,warehouse_type,warehouse_fee_cny,shipping_mode,shipping_cost_cny,weight_kg,expected_days,delay_days,actual_days,coupon_given,coupon_value_cny,gift_given,gift_cost_cny,sentiment_score,complaint_flag,refund_flag,refund_amount_cny,profit_cny,margin_pct
1,10354,2024-02-02,KR,Sneakers,TikTok,Student,3,171585.25,0.0053,2728.21,3222.06,3PL_Budget,19.22,Express,272.28,2.69,6,0,6,0,0,0,0,4.0,0,0,0.0,202.35,0.0628
2,10046,2024-10-10,US,Streetwear,WeChat,Student,2,70.94,7.0912,1006.1,1249.7,Forwarder_Aggregator,8.6,Standard,112.75,0.94,13,0,13,0,0,0,0,3.8,0,0,0.0,122.25,0.0978
3,10175,2024-08-27,TH,Outerwear,Referral,ValueSeeker,3,1656.6,0.2004,995.95,1164.16,3PL_Standard,28.41,Standard,180.72,2.88,12,0,12,1,10,0,0,4.1,0,0,0.0,-50.92,-0.0437
4,10707,2024-06-09,KR,Basics,Referral,Student,3,66922.09,0.0053,1064.06,1179.04,3PL_Budget,10.09,Standard,112.59,1.31,12,0,12,1,30,0,0,4.7,0,0,0.0,-37.7,-0.032
5,10109,2024-06-07,CA,Accessories,Instagram,Student,1,40.17,5.2843,212.27,249.82,3PL_Budget,4.34,Economy,43.14,0.25,19,0,19,0,0,0,0,4.6,0,0,0.0,-9.93,-0.0397
6,10447,2024-11-10,AU,Basics,Xiaohongshu,ValueSeeker,1,57.3,4.676,267.93,307.22,3PL_Budget,4.62,Standard,84.02,0.46,15,0,15,1,25,0,0,4.2,0,0,0.0,-74.35,-0.242
7,10126,2024-02-01,US,Sneakers,Xiaohongshu,Collector,3,200.89,7.0981,4277.81,5613.59,3PL_Budget,16.96,Standard,226.34,2.44,12,0,12,0,0,0,0,3.7,0,0,0.0,1092.48,0.1946
8,10484,2024-09-12,TH,Sneakers,Instagram,Student,2,4205.87,0.2003,1684.87,2004.36,Forwarder_Aggregator,17.63,Express,161.28,2.1,8,0,8,0,0,1,12,4.4,0,0,0.0,128.58,0.0642
9,10579,2024-03-14,TH,Sneakers,Xiaohongshu,YoungProfessional,2,3379.77,0.2001,1352.58,1581.56,3PL_Standard,17.03,Economy,98.59,1.78,17,0,17,0,0,0,0,4.5,0,0,0.0,113.36,0.0717
10,10422,2024-02-04,TH,Streetwear,Instagram,ValueSeeker,2,2362.02,0.2002,945.75,1145.23,3PL_Standard,12.78,Express,121.2,1.02,8,0,8,1,25,1,15,4.9,0,0,0.0,25.5,0.0223
11,10694,2024-07-11,CA,Accessories,WeChat,YoungProfessional,3,42.18,5.2861,668.9,795.35,Forwarder_Aggregator,6.71,Standard,87.62,0.73,14,0,14,0,0,0,0,4.5,0,0,0.0,32.12,0.0404
